feature,importance_mean,importance_std
sp_nan,0.00046859510202779396,0.00014918441709013794
request_id_length,0.0003933293009933364,0.00010446228988758444
is_weekend,0.0,0.0
sp_provider,0.0,0.0
is_business_hours,-7.528717205546598e-05,0.0006180194740643903
time_since_last,-0.00022545948633315716,0.0011035088925182388
sp_TEST_SP2,-0.0027827137081875815,0.0007802608879384704
sp_TEST_SP1,-0.003116130351235835,0.0011161924370339824
hour,-0.0033454311904080407,0.000747887407107575
is_complete,-0.0036847252514680766,0.00045571325217927974
minute,-0.0045322435749517494,0.000338449364794721
day_of_week,-0.00499089315501923,0.0010047454513838542
response_id_length,-0.005023915930469694,0.000661217157190979
hourly_transaction_count,-0.006150139844330965,0.0010776948660161324
is_success,-0.006352550722493533,0.0008010681199961437
transaction_duration_filled,-0.009220124335031448,0.000798502050137208
duration_z_score,-0.012577473474092885,0.0010438387956767609
