feature,importance,mean_diff,std_ratio,cohens_d
sp_nan,562893132.2969677,1.2911799231206054,316273197.7771495,1.3784048604938
request_id_length,562893130.7196741,1.291179923120605,316273196.8909145,1.3784048604937995
is_success,8.743622878125876,1.9065879802295411,2.7941055842002386e-16,2.2930027275933003
response_id_length,8.743622878125876,1.9065879802295407,0.0,2.2930027275933003
sp_TEST_SP1,5.381349727708925,1.5545097407214483,0.0,1.7308832446464568
duration_z_score,2.990901629544002,1.5707519761416282,1.0854666796230075,1.754195602891878
transaction_duration_filled,2.95791735160854,1.565628078159962,1.0815574451848469,1.7468187398462935
is_complete,2.9199510668767457,1.5596856349689587,1.0770016870445158,1.7382895433994023
sp_TEST_SP2,1.698561729692848,1.2181385023466689,0.9172076229550675,1.2877734729369883
is_business_hours,0.6997454242175959,0.5917917443622737,0.0,0.5912091803271565
hour,0.49036779250795204,0.6375994528842295,0.7958054325763512,0.6386712085939362
time_since_last,0.07563500227976991,0.19754210668050265,0.031585470268152595,0.1945120814711165
minute,0.01811210325766453,0.12774674330730032,1.1283239999297905,0.12565657621455703
hourly_transaction_count,0.016567713102371366,0.10495045085065734,1.5295508624047398,0.10320823084436008
day_of_week,0.0006037317123081539,0.015909459942465388,2.4267032679149216,0.01563766395916829
is_weekend,0.0,0.0,0.0,0.0
sp_provider,0.0,0.0,0.0,0.0
