feature,importance_mean,importance_std
is_weekend,0.0,0.0
sp_provider,0.0,0.0
time_since_last,-0.017331090967399286,0.0029037239613828457
sp_TEST_SP1,-0.022782882680704625,0.0024697980300785473
sp_TEST_SP2,-0.02729714021114086,0.0018523601868368135
hourly_transaction_count,-0.02787798689625371,0.0023806803853143976
is_business_hours,-0.028759728963503668,0.005031300811887323
request_id_length,-0.032494975889121626,4.136150637771353e-05
sp_nan,-0.032494975889121626,4.136150637771353e-05
minute,-0.0364831304100383,0.006163489794721046
hour,-0.037893179381470264,0.003868832555403216
day_of_week,-0.05463321481696226,0.00957846993800749
response_id_length,-0.08424660096524603,0.006025671146000432
is_success,-0.08424660096524604,0.006025671146000433
is_complete,-0.08512914750933256,0.005006011583133184
transaction_duration_filled,-0.08547205203095175,0.005059596101142449
duration_z_score,-0.08575472353193919,0.005111162932313066
