feature,importance,mean_diff,std_ratio,cohens_d
time_since_last,3.6684903322085924,0.7353767195975089,6.656088848602019,0.7494771410348963
hourly_transaction_count,0.42471597264600486,0.6059912866604992,1.1484000426140464,0.6102938795748118
is_success,0.1889089566530216,0.3878654739578076,0.7349309126845595,0.38499685640972664
response_id_length,0.18890895665302154,0.38786547395780757,0.7349309126845593,0.3849968564097266
is_complete,0.15141768730265845,0.34998064390361916,0.7522968530326812,0.3467538664517153
transaction_duration_filled,0.15003654188768648,0.3488017996590832,0.7552394383778231,0.3455671958333386
duration_z_score,0.14876546506748883,0.34768353063638335,0.7577691629038875,0.3444416802849152
is_business_hours,0.12671830724555322,0.3216919225764154,1.2374368543831546,0.31832896715167686
minute,0.06465566901682063,0.18661322724821525,1.884649390970126,0.1838372936145061
sp_nan,0.047266384940215525,0.15494159077447264,0.0,0.15252968781317974
request_id_length,0.04726638494021551,0.15494159077447262,0.0,0.15252968781317972
hour,0.011570487636303244,0.08979619337621758,1.4591432307971823,0.08830713834255292
day_of_week,0.009860446325878397,0.09368904188340763,0.8577503841650355,0.09213969177259185
sp_TEST_SP2,0.0008492895358274931,0.028535399170993826,1.0610933490121102,0.028049054653140254
sp_TEST_SP1,0.00020371147801070413,0.014083592522775513,1.0448924992100503,0.013843006949971468
is_weekend,0.0,0.0,0.0,0.0
sp_provider,0.0,0.0,0.0,0.0
